nin_number,sir_name,given_name,nationality,gender,date_of_birth,card_no,expiry_date,village,parish,sub_county,county,district,phone_number,email
CM833E707727P6,ABDULIHADHI,WALUSIMBI,UGANDAN,M,1996-03-30,666841851,2025-12-26,BOROBORO EAST,BOROBORO EAST,ADEKOKWOK,ADEKOKWOK,LIRA,2.56701E+12,walusimbi01@gmail.com
CM3076F4762179,ABWANGO,ANDREW TIMOTHY ,UGANDAN,M,1984-11-07,605900997,2026-12-10,MEDICAL QUARTERS,TESO   A,ADYEL,ADYEL,LIRA,2.56709E+12,timothy@gmai
CM0U37F1516289,ACHEN,JANET FLORENCE,UGANDAN,F,1975-05-28,378342889,2025-12-31,HOSPITAL AREA,CENTRAL WARD,CENTRAL DIVISION,CENTRAL DIVISION,MITYANA,2.56767E+12,achen@gmail.com
CMF776U1867994,ADOCOR,EMMANUEL,UGANDAN,M,1993-12-13,972986832,2027-05-24,KITEGA,KITEGA,KANYEGARAMIRE,KANYEGARAMIRE,KYENJOJO,2.56792E+12,adocor@gmail.com
CM493751559665,AGABA,RAYMOND,UGANDAN,M,1987-04-23,21291227,2026-05-13,BUNDINJONGYA,BUNDINJONGYA WARD,BUTAMA-MITUNDA T/C,BUTAMA-MITUNDA T/C,BUNDIBUGYO,2.5676E+12,raymond01@gmail.com
CM322664916F78,AHABWE,NARATH,UGANDAN,M,1991-04-14,385983284,2026-06-05,BUNSERU,KAHIMBI WARD,BUTAMA-MITUNDA T/C,BUTAMA-MITUNDA T/C,BUNDIBUGYO,2.5673E+12,narath@gmail.com
CM1961P874U276,AHIMBISIBWE,LUCKY,UGANDAN,M,2001-12-22,190749849,2026-05-31,MUZIZI,KANDAMA,BUFUNJO,BUFUNJO,KYENJOJO,2.56724E+12,lucky22@gmail.com
CM04156643UF86,ALAROKER,FLORENCE,UGANDAN,F,1974-08-03,429034923,2026-08-22,LANGO COLLEGE,AKWOYO WARD,ADYEL,ADYEL,LIRA,2.56704E+12,florence03@gmail.com
CM46001941UP6E,AMONO,BRENDA BENNA,UGANDAN,F,1979-04-20,583910014,2027-06-02,WIODYEK A,ABWOCOLIL,AMACH,AMACH,LIRA,2.56722E+12,benna@gmail.com
CM60987E996P57,ATIMU,ANGELLA,UGANDAN,F,1978-04-18,304450779,2026-12-02,KIGANDO,KYEGEGWA WARD,KYEGEGWA TOWN COUNCIL,KYEGEGWA TOWN COUNCIL,KYEGEGWA,2.56796E+12,angela@gmail.com
CM04F021611850,ATIONO,SERAH,UGANDAN,F,2001-08-31,876167871,2027-11-21,KAPSIYWO,NYALIT,CHESOWER,CHESOWER,BUKWO,2.56726E+12,seral22@gmail.com
CMF963806U69P6,AUPAL,EMMANUEL,UGANDAN,M,1991-03-05,843102181,2025-12-18,NYALIT,NYALIT,CHESOWER,CHESOWER,BUKWO,2.56773E+12,emmanuel07@gmail.com
CM140U3BFB9P01,AWALLI,JESCA OLIVIA,UGANDAN,F,2000-09-04,447729720,2025-07-11,CHERINGANY,KAPTEKA,CHESOWER,CHESOWER,BUKWO,2.56705E+12,jesca olivia07@gfail.cof
CMP64040671U16,BASEMERA,INNOCENT,UGANDAN,M,1999-08-03,598066085,2025-06-19,KWANWA,KAPTEKA,CHESOWER,CHESOWER,BUKWO,2.56784E+12,innocent07@gmail.com
CMU7P470996671,BATENGA,MARIA GORRET,UGANDAN,F,1995-06-24,691747663,2025-03-28,LOCH,KAPTEKA,CHESOWER,CHESOWER,BUKWO,2.56791E+12,maria gorret07@gfail.cof
CME1F941925P75,BULYA,JACKIE KAKONGE,UGANDAN,F,1999-05-03,212724593,2027-12-07,TAKATET,KAPTEKA,CHESOWER,CHESOWER,BUKWO,2.56706E+12,jackie kakonge07@gfail.cof
CM7E9E0669113U,BYAMUGISHA,MILTON,UGANDAN,M,1970-06-15,17200098,2026-07-12,RWANDET,KAPTEKA,CHESOWER,CHESOWER,BUKWO,2.56757E+12,milton07@gmail.com
CM9U8E90F41F67,BYARUHANGA,KENNETH,UGANDAN,M,1995-04-28,898593176,2028-01-04,KALYANGO,KIGUMA,BUKUUKU,BUKUUKU,KABAROLE,2.56769E+12,kenneth07@gmail.com
CM6771F61198UP,BYERETA,TIMOTHY,UGANDAN,M,1997-04-19,142816321,2027-02-08,WANKA,BUSAIGA,HARUGONGO,HARUGONGO,KABAROLE,2.56794E+12,timothy07@gmail.com
CMP64058E59011,CHELIMO,JOAN SOMIKWO,UGANDAN,F,1996-06-30,916398929,2026-08-25,KIKONGE B,KYAKAIGO,HARUGONGO,HARUGONGO,KABAROLE,2.56772E+12,joan somikwo07@gfail.cof
CM509571071140,CHEPTEGEI,SAM,UGANDAN,M,1992-08-19,82674628,2028-11-03,KIHYO,KATEBE,MALIBA,MALIBA,KASESE,2.56799E+12,sam07@gmail.com
CM351680690U61,EJADU,SIMON,UGANDAN,M,1974-05-30,147736854,2027-11-27,BOYET,KAPTEKA,CHESOWER,CHESOWER,BUKWO,2.56753E+12,simon07@gmail.com
CM02016E7B0568,EKUBU,ISAAC,UGANDAN,M,1976-06-02,795323500,2028-06-08,TUYOBEI,KAPTEKA,CHESOWER,CHESOWER,BUKWO,2.56797E+12,isaac07@gmail.com
CM552U91637060,KAAYA,BRIAN,UGANDAN,M,1999-11-01,895492272,2028-04-13,SUNGORA,SUNGORA,CHEPKWASTA,CHEPKWASTA,BUKWO,2.56757E+12,brian07@gmail.com
CM159406965419,KAFEERO,YUSUF,UGANDAN,M,1980-09-10,727395758,2025-06-09,KAPSOYEN,SUNGORA,CHEPKWASTA,CHEPKWASTA,BUKWO,2.56754E+12,yusuf07@gmail.com
CM63851106594E,KAGAME,STEVEN,UGANDAN,M,2002-08-22,426990853,2027-02-11,SURUMOYO,SUNGORA,CHEPKWASTA,CHEPKWASTA,BUKWO,2.5679E+12,steven07@gmail.com
CM456571682700,KAKEMBO,HENRY,UGANDAN,M,2003-02-13,340497572,2026-08-28,CHEMUGUN,SUNGORA,CHEPKWASTA,CHEPKWASTA,BUKWO,2.56764E+12,henry07@gmail.com
CM3567U6716P66,KALIBBALA,PAUL M,UGANDAN,M,1984-07-21,138053806,2028-02-29,MURYAMAT,SUNGORA,CHEPKWASTA,CHEPKWASTA,BUKWO,2.56781E+12,paul m07@gmail.com
CM90987E765P11,KALUME,MARY ALEGAN,UGANDAN,F,1974-05-15,747988057,2025-12-16,CHEMURON,SUNGORA,CHEPKWASTA,CHEPKWASTA,BUKWO,2.567E+12,mary alegan07@gfail.cof
CM03U6C1P45511,KAMUKAMA,SOLOMON,UGANDAN,M,1995-09-05,28124894,2027-02-10,TOMTO,KAMET,KAMET,KAMET,BUKWO,2.56797E+12,solomon07@gmail.com
CM6U9931186051,KEBIRUNGI,HELLEN,UGANDAN,F,1977-05-27,499977956,2025-02-16,LEMEKORA,ALLA,DRANYA,DRANYA,KOBOKO,2.56707E+12,hellen07@gfail.cof
CM0191E2567474,KINENE,SHARIF,UGANDAN,M,2002-08-25,660845419,2028-09-03,GIDOGIDONGA,CHAKULIA,LUDARA,LUDARA,KOBOKO,2.56774E+12,sharif07@gmail.com
